text,sentiment
Excellent service item 117,1
Waste of money item 118,0
Best purchase ever item 119,1
Terrible product item 120,0
Do not buy item 121,0
Best purchase ever item 122,1
Complete garbage item 123,0
I love this! item 124,1
I love this! item 125,1
Complete garbage item 126,0
Fantastic quality item 127,1
Best purchase ever item 128,1
Terrible product item 129,0
Complete garbage item 130,0
Highly recommend item 131,1
Excellent service item 132,1
Highly recommend item 133,1
Complete garbage item 134,0
Excellent service item 135,1
Best purchase ever item 136,1
Terrible product item 137,0
Fantastic quality item 138,1
Worst experience item 139,0
Great product item 140,1
Avoid this item 141,0
Terrible product item 142,0
Worst experience item 143,0
Poor quality item 144,0
Complete garbage item 145,0
I love this! item 146,1
Complete garbage item 147,0
Very disappointed item 148,0
Great product item 149,1
Worst experience item 150,0
Best purchase ever item 151,1
Best purchase ever item 152,1
Avoid this item 153,0
Highly recommend item 154,1
I love this! item 155,1
Avoid this item 156,0
Poor quality item 157,0
Terrible product item 158,0
Poor quality item 159,0
Fantastic quality item 160,1
Worst experience item 161,0
Terrible product item 162,0
Fantastic quality item 163,1
Avoid this item 164,0
Highly recommend item 165,1
Very happy with this item 166,1
Complete garbage item 167,0
Excellent service item 168,1
Waste of money item 169,0
Very happy with this item 170,1
Best purchase ever item 171,1
Excellent service item 172,1
Do not buy item 173,0
Amazing experience item 174,1
Waste of money item 175,0
I love this! item 176,1
I love this! item 177,1
Excellent service item 178,1
Amazing experience item 179,1
Best purchase ever item 180,1
Complete garbage item 181,0
Amazing experience item 182,1
Poor quality item 183,0
I love this! item 184,1
Worst experience item 185,0
Highly recommend item 186,1
Very happy with this item 187,1
Waste of money item 188,0
Do not buy item 189,0
Terrible product item 190,0
Worst experience item 191,0
Waste of money item 192,0
I love this! item 193,1
Worst experience item 194,0
Very disappointed item 195,0
Terrible product item 196,0
Highly recommend item 197,1
Avoid this item 198,0
Worst experience item 199,0
Poor quality item 200,0
Very disappointed item 201,0
Highly recommend item 202,1
Waste of money item 203,0
Great product item 204,1
Complete garbage item 205,0
Poor quality item 206,0
Amazing experience item 207,1
Avoid this item 208,0
Do not buy item 209,0
Fantastic quality item 210,1
Waste of money item 211,0
Waste of money item 212,0
Worst experience item 213,0
Excellent service item 214,1
I love this! item 215,1
Very happy with this item 216,1
Fantastic quality item 217,1
Very happy with this item 218,1
Waste of money item 219,0
Avoid this item 220,0
Avoid this item 221,0
Avoid this item 222,0
Worst experience item 223,0
Highly recommend item 224,1
Complete garbage item 225,0
Complete garbage item 226,0
Highly recommend item 227,1
Worst experience item 228,0
Amazing experience item 229,1
Fantastic quality item 230,1
Highly recommend item 231,1
Waste of money item 232,0
Excellent service item 233,1
Fantastic quality item 234,1
Excellent service item 235,1
Do not buy item 236,0
Highly recommend item 237,1
Best purchase ever item 238,1
Highly recommend item 239,1
Poor quality item 240,0
Avoid this item 241,0
Fantastic quality item 242,1
I love this! item 243,1
Amazing experience item 244,1
Avoid this item 245,0
Do not buy item 246,0
Avoid this item 247,0
Very disappointed item 248,0
Waste of money item 249,0
Waste of money item 250,0
Great product item 251,1
I love this! item 252,1
Waste of money item 253,0
Fantastic quality item 254,1
Excellent service item 255,1
Fantastic quality item 256,1
Highly recommend item 257,1
Terrible product item 258,0
Best purchase ever item 259,1
Excellent service item 260,1
Terrible product item 261,0
Excellent service item 262,1
Excellent service item 263,1
I love this! item 264,1
Very happy with this item 265,1
I love this! item 266,1
Terrible product item 267,0
Excellent service item 268,1
Avoid this item 269,0
I love this! item 270,1
Avoid this item 271,0
Highly recommend item 272,1
Poor quality item 273,0
Excellent service item 274,1
Waste of money item 275,0
Fantastic quality item 276,1
Poor quality item 277,0
Very disappointed item 278,0
Avoid this item 279,0
I love this! item 280,1
Avoid this item 281,0
Do not buy item 282,0
Amazing experience item 283,1
Do not buy item 284,0
Best purchase ever item 285,1
Poor quality item 286,0
Amazing experience item 287,1
Fantastic quality item 288,1
Great product item 289,1
Amazing experience item 290,1
Very disappointed item 291,0
Fantastic quality item 292,1
Great product item 293,1
Excellent service item 294,1
Great product item 295,1
Very happy with this item 296,1
Fantastic quality item 297,1
Great product item 298,1
Best purchase ever item 299,1
Great product item 300,1
Amazing experience item 301,1
Very happy with this item 302,1
Avoid this item 303,0
Poor quality item 304,0
Highly recommend item 305,1
Avoid this item 306,0
Very happy with this item 307,1
Fantastic quality item 308,1
Terrible product item 309,0
Terrible product item 310,0
Terrible product item 311,0
Worst experience item 312,0
Fantastic quality item 313,1
Fantastic quality item 314,1
Complete garbage item 315,0
Best purchase ever item 316,1
Highly recommend item 317,1
Highly recommend item 318,1
Do not buy item 319,0
Great product item 320,1
Terrible product item 321,0
Great product item 322,1
Do not buy item 323,0
Poor quality item 324,0
Excellent service item 325,1
Highly recommend item 326,1
Avoid this item 327,0
Poor quality item 328,0
Excellent service item 329,1
Waste of money item 330,0
Avoid this item 331,0
Excellent service item 332,1
Do not buy item 333,0
I love this! item 334,1
Avoid this item 335,0
Fantastic quality item 336,1
Very disappointed item 337,0
Amazing experience item 338,1
Avoid this item 339,0
Amazing experience item 340,1
Worst experience item 341,0
Fantastic quality item 342,1
Complete garbage item 343,0
Terrible product item 344,0
Do not buy item 345,0
Avoid this item 346,0
I love this! item 347,1
Best purchase ever item 348,1
I love this! item 349,1
Very disappointed item 350,0
Avoid this item 351,0
Worst experience item 352,0
Fantastic quality item 353,1
Great product item 354,1
Very happy with this item 355,1
Fantastic quality item 356,1
Best purchase ever item 357,1
Worst experience item 358,0
Terrible product item 359,0
Fantastic quality item 360,1
Terrible product item 361,0
Excellent service item 362,1
Do not buy item 363,0
Waste of money item 364,0
Worst experience item 365,0
Best purchase ever item 366,1
Terrible product item 367,0
Fantastic quality item 368,1
Very disappointed item 369,0
Complete garbage item 370,0
Do not buy item 371,0
Fantastic quality item 372,1
Best purchase ever item 373,1
Worst experience item 374,0
Amazing experience item 375,1
Waste of money item 376,0
Very happy with this item 377,1
Do not buy item 378,0
I love this! item 379,1
Excellent service item 380,1
Great product item 381,1
Best purchase ever item 382,1
Fantastic quality item 383,1
Complete garbage item 384,0
I love this! item 385,1
Complete garbage item 386,0
Worst experience item 387,0
Avoid this item 388,0
Very disappointed item 389,0
Very disappointed item 390,0
Very happy with this item 391,1
Do not buy item 392,0
Complete garbage item 393,0
Excellent service item 394,1
I love this! item 395,1
Best purchase ever item 396,1
Excellent service item 397,1
Waste of money item 398,0
Avoid this item 399,0
Poor quality item 400,0
Worst experience item 401,0
Terrible product item 402,0
Highly recommend item 403,1
Waste of money item 404,0
Waste of money item 405,0
I love this! item 406,1
Do not buy item 407,0
Very happy with this item 408,1
Best purchase ever item 409,1
Fantastic quality item 410,1
Poor quality item 411,0
I love this! item 412,1
Highly recommend item 413,1
Do not buy item 414,0
Great product item 415,1
Very happy with this item 416,1
Amazing experience item 417,1
Great product item 418,1
Very disappointed item 419,0
Very happy with this item 420,1
Best purchase ever item 421,1
Fantastic quality item 422,1
Great product item 423,1
Very happy with this item 424,1
Do not buy item 425,0
Waste of money item 426,0
I love this! item 427,1
Waste of money item 428,0
I love this! item 429,1
Highly recommend item 430,1
Waste of money item 431,0
Fantastic quality item 432,1
Poor quality item 433,0
Amazing experience item 434,1
Excellent service item 435,1
Very disappointed item 436,0
Avoid this item 437,0
Waste of money item 438,0
Best purchase ever item 439,1
Avoid this item 440,0
Terrible product item 441,0
Worst experience item 442,0
Worst experience item 443,0
Poor quality item 444,0
Great product item 445,1
Do not buy item 446,0
Terrible product item 447,0
Very disappointed item 448,0
Avoid this item 449,0
Very happy with this item 450,1
Highly recommend item 451,1
Highly recommend item 452,1
Worst experience item 453,0
Complete garbage item 454,0
Great product item 455,1
Very happy with this item 456,1
Amazing experience item 457,1
Poor quality item 458,0
Waste of money item 459,0
Very disappointed item 460,0
Poor quality item 461,0
Do not buy item 462,0
Great product item 463,1
Avoid this item 464,0
Very happy with this item 465,1
Very disappointed item 466,0
Great product item 467,1
Waste of money item 468,0
Amazing experience item 469,1
Fantastic quality item 470,1
Highly recommend item 471,1
Avoid this item 472,0
Terrible product item 473,0
Excellent service item 474,1
Best purchase ever item 475,1
Terrible product item 476,0
Highly recommend item 477,1
Great product item 478,1
Best purchase ever item 479,1
Highly recommend item 480,1
Terrible product item 481,0
Great product item 482,1
Avoid this item 483,0
Terrible product item 484,0
Highly recommend item 485,1
Avoid this item 486,0
Very disappointed item 487,0
Amazing experience item 488,1
I love this! item 489,1
I love this! item 490,1
Excellent service item 491,1
Worst experience item 492,0
Fantastic quality item 493,1
Do not buy item 494,0
Terrible product item 495,0
Terrible product item 496,0
Waste of money item 497,0
Excellent service item 498,1
Do not buy item 499,0
Worst experience item 500,0
Very disappointed item 501,0
Complete garbage item 502,0
Do not buy item 503,0
Highly recommend item 504,1
Best purchase ever item 505,1
Great product item 506,1
Fantastic quality item 507,1
Do not buy item 508,0
Poor quality item 509,0
Amazing experience item 510,1
Waste of money item 511,0
Worst experience item 512,0
Very happy with this item 513,1
Excellent service item 514,1
Very happy with this item 515,1
Fantastic quality item 516,1
Poor quality item 517,0
Amazing experience item 518,1
Very disappointed item 519,0
Highly recommend item 520,1
Best purchase ever item 521,1
Very disappointed item 522,0
Excellent service item 523,1
Excellent service item 524,1
Waste of money item 525,0
Highly recommend item 526,1
Excellent service item 527,1
I love this! item 528,1
Complete garbage item 529,0
Highly recommend item 530,1
Complete garbage item 531,0
Excellent service item 532,1
Do not buy item 533,0
Poor quality item 534,0
Terrible product item 535,0
Avoid this item 536,0
Terrible product item 537,0
Very happy with this item 538,1
Avoid this item 539,0
Great product item 540,1
Do not buy item 541,0
Very happy with this item 542,1
Very disappointed item 543,0
Fantastic quality item 544,1
Avoid this item 545,0
Poor quality item 546,0
Amazing experience item 547,1
Do not buy item 548,0
Waste of money item 549,0
Amazing experience item 550,1
Very disappointed item 551,0
I love this! item 552,1
Best purchase ever item 553,1
Very disappointed item 554,0
Terrible product item 555,0
Worst experience item 556,0
Terrible product item 557,0
Do not buy item 558,0
Waste of money item 559,0
Avoid this item 560,0
I love this! item 561,1
I love this! item 562,1
Great product item 563,1
Avoid this item 564,0
Do not buy item 565,0
Fantastic quality item 566,1
Very disappointed item 567,0
Very disappointed item 568,0
Worst experience item 569,0
Avoid this item 570,0
Complete garbage item 571,0
Amazing experience item 572,1
Very disappointed item 573,0
Waste of money item 574,0
I love this! item 575,1
Worst experience item 576,0
Highly recommend item 577,1
Avoid this item 578,0
Very disappointed item 579,0
Waste of money item 580,0
Amazing experience item 581,1
Do not buy item 582,0
Excellent service item 583,1
Fantastic quality item 584,1
Terrible product item 585,0
Complete garbage item 586,0
Do not buy item 587,0
Worst experience item 588,0
Avoid this item 589,0
Terrible product item 590,0
Excellent service item 591,1
Complete garbage item 592,0
Excellent service item 593,1
Best purchase ever item 594,1
Highly recommend item 595,1
Fantastic quality item 596,1
Do not buy item 597,0
Very happy with this item 598,1
I love this! item 599,1
Very disappointed item 600,0
Very disappointed item 601,0
Highly recommend item 602,1
I love this! item 603,1
Highly recommend item 604,1
Do not buy item 605,0
Do not buy item 606,0
Poor quality item 607,0
Great product item 608,1
I love this! item 609,1
Poor quality item 610,0
Waste of money item 611,0
Excellent service item 612,1
Worst experience item 613,0
Worst experience item 614,0
Complete garbage item 615,0
Very disappointed item 616,0
I love this! item 617,1
Fantastic quality item 618,1
Terrible product item 619,0
Very disappointed item 620,0
Waste of money item 621,0
Fantastic quality item 622,1
Fantastic quality item 623,1
Waste of money item 624,0
Amazing experience item 625,1
Great product item 626,1
Avoid this item 627,0
Amazing experience item 628,1
Fantastic quality item 629,1
Avoid this item 630,0
Do not buy item 631,0
Excellent service item 632,1
Avoid this item 633,0
Very happy with this item 634,1
I love this! item 635,1
Poor quality item 636,0
Great product item 637,1
Poor quality item 638,0
I love this! item 639,1
Poor quality item 640,0
Fantastic quality item 641,1
Complete garbage item 642,0
Poor quality item 643,0
Very happy with this item 644,1
Great product item 645,1
Do not buy item 646,0
Great product item 647,1
I love this! item 648,1
Do not buy item 649,0
Very disappointed item 650,0
I love this! item 651,1
Avoid this item 652,0
Terrible product item 653,0
Fantastic quality item 654,1
Complete garbage item 655,0
I love this! item 656,1
Excellent service item 657,1
Do not buy item 658,0
Waste of money item 659,0
Highly recommend item 660,1
Great product item 661,1
Best purchase ever item 662,1
Very disappointed item 663,0
Fantastic quality item 664,1
I love this! item 665,1
Do not buy item 666,0
Complete garbage item 667,0
Excellent service item 668,1
I love this! item 669,1
Great product item 670,1
Excellent service item 671,1
Terrible product item 672,0
Best purchase ever item 673,1
Fantastic quality item 674,1
Excellent service item 675,1
Very happy with this item 676,1
Amazing experience item 677,1
Amazing experience item 678,1
Do not buy item 679,0
I love this! item 680,1
Complete garbage item 681,0
Very happy with this item 682,1
Very happy with this item 683,1
Very happy with this item 684,1
Very disappointed item 685,0
I love this! item 686,1
Excellent service item 687,1
Poor quality item 688,0
Very disappointed item 689,0
Excellent service item 690,1
Do not buy item 691,0
Do not buy item 692,0
Highly recommend item 693,1
I love this! item 694,1
I love this! item 695,1
Amazing experience item 696,1
Amazing experience item 697,1
Waste of money item 698,0
Best purchase ever item 699,1
Fantastic quality item 700,1
Complete garbage item 701,0
Very happy with this item 702,1
Avoid this item 703,0
Fantastic quality item 704,1
Poor quality item 705,0
Excellent service item 706,1
Terrible product item 707,0
I love this! item 708,1
Poor quality item 709,0
Great product item 710,1
Avoid this item 711,0
Worst experience item 712,0
Amazing experience item 713,1
Terrible product item 714,0
Avoid this item 715,0
I love this! item 716,1
Terrible product item 717,0
Highly recommend item 718,1
Fantastic quality item 719,1
Best purchase ever item 720,1
Very happy with this item 721,1
Great product item 722,1
Great product item 723,1
I love this! item 724,1
Highly recommend item 725,1
Poor quality item 726,0
Great product item 727,1
Fantastic quality item 728,1
Very disappointed item 729,0
Waste of money item 730,0
Waste of money item 731,0
Great product item 732,1
Great product item 733,1
I love this! item 734,1
Highly recommend item 735,1
Fantastic quality item 736,1
Very disappointed item 737,0
Great product item 738,1
Best purchase ever item 739,1
Great product item 740,1
Fantastic quality item 741,1
I love this! item 742,1
Fantastic quality item 743,1
Terrible product item 744,0
Very disappointed item 745,0
Terrible product item 746,0
Waste of money item 747,0
I love this! item 748,1
Terrible product item 749,0
Best purchase ever item 750,1
Poor quality item 751,0
Complete garbage item 752,0
Excellent service item 753,1
Worst experience item 754,0
Excellent service item 755,1
Fantastic quality item 756,1
Amazing experience item 757,1
Complete garbage item 758,0
Best purchase ever item 759,1
Excellent service item 760,1
Excellent service item 761,1
Fantastic quality item 762,1
Excellent service item 763,1
Excellent service item 764,1
Very disappointed item 765,0
I love this! item 766,1
Avoid this item 767,0
Amazing experience item 768,1
Very disappointed item 769,0
Very happy with this item 770,1
Fantastic quality item 771,1
Best purchase ever item 772,1
Amazing experience item 773,1
Very disappointed item 774,0
Do not buy item 775,0
Poor quality item 776,0
Fantastic quality item 777,1
Very happy with this item 778,1
Avoid this item 779,0
I love this! item 780,1
Excellent service item 781,1
Poor quality item 782,0
Avoid this item 783,0
Great product item 784,1
Do not buy item 785,0
Excellent service item 786,1
Highly recommend item 787,1
Great product item 788,1
Great product item 789,1
Excellent service item 790,1
Highly recommend item 791,1
Terrible product item 792,0
I love this! item 793,1
I love this! item 794,1
Complete garbage item 795,0
Waste of money item 796,0
Very happy with this item 797,1
Highly recommend item 798,1
Highly recommend item 799,1
Very happy with this item 800,1
Terrible product item 801,0
Do not buy item 802,0
Best purchase ever item 803,1
Amazing experience item 804,1
Waste of money item 805,0
I love this! item 806,1
Terrible product item 807,0
Do not buy item 808,0
Best purchase ever item 809,1
Waste of money item 810,0
Highly recommend item 811,1
Best purchase ever item 812,1
Great product item 813,1
Poor quality item 814,0
Very happy with this item 815,1
Very disappointed item 816,0
Best purchase ever item 817,1
Very disappointed item 818,0
Waste of money item 819,0
Very happy with this item 820,1
Best purchase ever item 821,1
Terrible product item 822,0
Amazing experience item 823,1
Excellent service item 824,1
Highly recommend item 825,1
Terrible product item 826,0
Complete garbage item 827,0
Great product item 828,1
Very happy with this item 829,1
Excellent service item 830,1
Complete garbage item 831,0
Best purchase ever item 832,1
Do not buy item 833,0
Worst experience item 834,0
Great product item 835,1
Highly recommend item 836,1
Excellent service item 837,1
Do not buy item 838,0
Fantastic quality item 839,1
Complete garbage item 840,0
Complete garbage item 841,0
Complete garbage item 842,0
Worst experience item 843,0
Worst experience item 844,0
Great product item 845,1
Avoid this item 846,0
Highly recommend item 847,1
Excellent service item 848,1
Best purchase ever item 849,1
Terrible product item 850,0
Worst experience item 851,0
Complete garbage item 852,0
Poor quality item 853,0
Amazing experience item 854,1
Amazing experience item 855,1
Waste of money item 856,0
I love this! item 857,1
Terrible product item 858,0
Amazing experience item 859,1
Waste of money item 860,0
Amazing experience item 861,1
Amazing experience item 862,1
Amazing experience item 863,1
Terrible product item 864,0
Fantastic quality item 865,1
Great product item 866,1
I love this! item 867,1
Complete garbage item 868,0
Poor quality item 869,0
Amazing experience item 870,1
Highly recommend item 871,1
Very disappointed item 872,0
Very disappointed item 873,0
Highly recommend item 874,1
Great product item 875,1
Very disappointed item 876,0
Poor quality item 877,0
Best purchase ever item 878,1
Highly recommend item 879,1
Avoid this item 880,0
Very disappointed item 881,0
Do not buy item 882,0
Avoid this item 883,0
Do not buy item 884,0
Complete garbage item 885,0
Waste of money item 886,0
Very disappointed item 887,0
Complete garbage item 888,0
Best purchase ever item 889,1
Amazing experience item 890,1
Avoid this item 891,0
Do not buy item 892,0
Do not buy item 893,0
Worst experience item 894,0
Amazing experience item 895,1
Highly recommend item 896,1
Highly recommend item 897,1
Poor quality item 898,0
Amazing experience item 899,1
Excellent service item 900,1
Amazing experience item 901,1
Excellent service item 902,1
Very happy with this item 903,1
Great product item 904,1
Best purchase ever item 905,1
Great product item 906,1
Very disappointed item 907,0
Excellent service item 908,1
I love this! item 909,1
Complete garbage item 910,0
Worst experience item 911,0
Poor quality item 912,0
Waste of money item 913,0
Avoid this item 914,0
Terrible product item 915,0
Poor quality item 916,0
Worst experience item 917,0
I love this! item 918,1
Very happy with this item 919,1
Very disappointed item 920,0
Poor quality item 921,0
Avoid this item 922,0
Terrible product item 923,0
Excellent service item 924,1
Do not buy item 925,0
Very disappointed item 926,0
Great product item 927,1
Waste of money item 928,0
Poor quality item 929,0
I love this! item 930,1
Complete garbage item 931,0
I love this! item 932,1
Worst experience item 933,0
Terrible product item 934,0
Very happy with this item 935,1
Fantastic quality item 936,1
Excellent service item 937,1
Highly recommend item 938,1
Great product item 939,1
Avoid this item 940,0
Worst experience item 941,0
Do not buy item 942,0
Waste of money item 943,0
Do not buy item 944,0
Avoid this item 945,0
Fantastic quality item 946,1
Very disappointed item 947,0
Waste of money item 948,0
Waste of money item 949,0
Best purchase ever item 950,1
Terrible product item 951,0
I love this! item 952,1
Excellent service item 953,1
Amazing experience item 954,1
Worst experience item 955,0
Complete garbage item 956,0
Poor quality item 957,0
Amazing experience item 958,1
Excellent service item 959,1
I love this! item 960,1
Fantastic quality item 961,1
Avoid this item 962,0
Very happy with this item 963,1
Very happy with this item 964,1
Best purchase ever item 965,1
Amazing experience item 966,1
Waste of money item 967,0
Excellent service item 968,1
Best purchase ever item 969,1
Great product item 970,1
I love this! item 971,1
Complete garbage item 972,0
Excellent service item 973,1
Amazing experience item 974,1
Waste of money item 975,0
Great product item 976,1
Terrible product item 977,0
Complete garbage item 978,0
Fantastic quality item 979,1
I love this! item 980,1
Waste of money item 981,0
Worst experience item 982,0
Best purchase ever item 983,1
Amazing experience item 984,1
Very happy with this item 985,1
Very disappointed item 986,0
Worst experience item 987,0
I love this! item 988,1
Terrible product item 989,0
Do not buy item 990,0
Best purchase ever item 991,1
Terrible product item 992,0
Excellent service item 993,1
Poor quality item 994,0
Very disappointed item 995,0
Great product item 996,1
Amazing experience item 997,1
Very disappointed item 998,0
Excellent service item 999,1
Great product item 1000,1
Fantastic quality item 1001,1
Poor quality item 1002,0
Complete garbage item 1003,0
Highly recommend item 1004,1
Very disappointed item 1005,0
Great product item 1006,1
Highly recommend item 1007,1
Fantastic quality item 1008,1
Best purchase ever item 1009,1
Do not buy item 1010,0
Do not buy item 1011,0
Very disappointed item 1012,0
Poor quality item 1013,0
Great product item 1014,1
Worst experience item 1015,0
Complete garbage item 1016,0
Great product item 1017,1
Do not buy item 1018,0
Excellent service item 1019,1
Poor quality item 1020,0
Amazing experience item 1021,1
Poor quality item 1022,0
Great product item 1023,1
Do not buy item 1024,0
Very happy with this item 1025,1
Very happy with this item 1026,1
Terrible product item 1027,0
Amazing experience item 1028,1
Highly recommend item 1029,1
Do not buy item 1030,0
Highly recommend item 1031,1
Waste of money item 1032,0
Avoid this item 1033,0
Great product item 1034,1
Highly recommend item 1035,1
Terrible product item 1036,0
Excellent service item 1037,1
Avoid this item 1038,0
Excellent service item 1039,1
Waste of money item 1040,0
Poor quality item 1041,0
Very disappointed item 1042,0
Very happy with this item 1043,1
Amazing experience item 1044,1
Amazing experience item 1045,1
Waste of money item 1046,0
Terrible product item 1047,0
Amazing experience item 1048,1
Avoid this item 1049,0
Complete garbage item 1050,0
Very disappointed item 1051,0
Excellent service item 1052,1
I love this! item 1053,1
Avoid this item 1054,0
Terrible product item 1055,0
Best purchase ever item 1056,1
Amazing experience item 1057,1
Worst experience item 1058,0
Terrible product item 1059,0
Very happy with this item 1060,1
Worst experience item 1061,0
Waste of money item 1062,0
Complete garbage item 1063,0
Worst experience item 1064,0
Avoid this item 1065,0
Best purchase ever item 1066,1
Terrible product item 1067,0
Terrible product item 1068,0
Fantastic quality item 1069,1
Amazing experience item 1070,1
Highly recommend item 1071,1
Avoid this item 1072,0
Complete garbage item 1073,0
Great product item 1074,1
Waste of money item 1075,0
Worst experience item 1076,0
Poor quality item 1077,0
I love this! item 1078,1
Very happy with this item 1079,1
Complete garbage item 1080,0
Amazing experience item 1081,1
Fantastic quality item 1082,1
Very happy with this item 1083,1
Complete garbage item 1084,0
Worst experience item 1085,0
Complete garbage item 1086,0
Complete garbage item 1087,0
Highly recommend item 1088,1
Worst experience item 1089,0
Poor quality item 1090,0
Great product item 1091,1
Excellent service item 1092,1
I love this! item 1093,1
Fantastic quality item 1094,1
Worst experience item 1095,0
Do not buy item 1096,0
Fantastic quality item 1097,1
Great product item 1098,1
Avoid this item 1099,0
Terrible product item 1100,0
Avoid this item 1101,0
Avoid this item 1102,0
Terrible product item 1103,0
Best purchase ever item 1104,1
Great product item 1105,1
Poor quality item 1106,0
Great product item 1107,1
Best purchase ever item 1108,1
Highly recommend item 1109,1
Amazing experience item 1110,1
I love this! item 1111,1
Waste of money item 1112,0
Great product item 1113,1
Great product item 1114,1
Best purchase ever item 1115,1
Highly recommend item 1116,1
Very happy with this item 1117,1
Waste of money item 1118,0
Very disappointed item 1119,0
Poor quality item 1120,0
Amazing experience item 1121,1
I love this! item 1122,1
Terrible product item 1123,0
Great product item 1124,1
Complete garbage item 1125,0
Fantastic quality item 1126,1
Very disappointed item 1127,0
Terrible product item 1128,0
Amazing experience item 1129,1
Waste of money item 1130,0
Very happy with this item 1131,1
Highly recommend item 1132,1
Excellent service item 1133,1
Avoid this item 1134,0
Highly recommend item 1135,1
Poor quality item 1136,0
Excellent service item 1137,1
Worst experience item 1138,0
Very happy with this item 1139,1
Very disappointed item 1140,0
Amazing experience item 1141,1
Waste of money item 1142,0
Waste of money item 1143,0
Complete garbage item 1144,0
Do not buy item 1145,0
Very disappointed item 1146,0
Poor quality item 1147,0
Very disappointed item 1148,0
Complete garbage item 1149,0
Poor quality item 1150,0
Excellent service item 1151,1
Very happy with this item 1152,1
Avoid this item 1153,0
Highly recommend item 1154,1
Amazing experience item 1155,1
Poor quality item 1156,0
Complete garbage item 1157,0
Do not buy item 1158,0
Great product item 1159,1
Fantastic quality item 1160,1
Avoid this item 1161,0
Waste of money item 1162,0
Avoid this item 1163,0
Do not buy item 1164,0
Very happy with this item 1165,1
Do not buy item 1166,0
Fantastic quality item 1167,1
Waste of money item 1168,0
Fantastic quality item 1169,1
Fantastic quality item 1170,1
Terrible product item 1171,0
Poor quality item 1172,0
Fantastic quality item 1173,1
Very happy with this item 1174,1
Worst experience item 1175,0
Poor quality item 1176,0
Waste of money item 1177,0
Terrible product item 1178,0
Fantastic quality item 1179,1
Avoid this item 1180,0
I love this! item 1181,1
I love this! item 1182,1
I love this! item 1183,1
Highly recommend item 1184,1
Terrible product item 1185,0
Amazing experience item 1186,1
Complete garbage item 1187,0
Very disappointed item 1188,0
Complete garbage item 1189,0
Excellent service item 1190,1
Terrible product item 1191,0
Complete garbage item 1192,0
Fantastic quality item 1193,1
I love this! item 1194,1
Complete garbage item 1195,0
Terrible product item 1196,0
I love this! item 1197,1
Complete garbage item 1198,0
Terrible product item 1199,0
Fantastic quality item 1200,1
Do not buy item 1201,0
Very disappointed item 1202,0
Best purchase ever item 1203,1
Highly recommend item 1204,1
Waste of money item 1205,0
Worst experience item 1206,0
Excellent service item 1207,1
Worst experience item 1208,0
Complete garbage item 1209,0
Very happy with this item 1210,1
Excellent service item 1211,1
Amazing experience item 1212,1
